antibodi hydroxychloroquin|152
hydroxychloroquin crime|156
question don|20
save life|6
pray mom|164
hydroxychloriquin quercetin|70
drug ivermectin|36
drug emerg|204
yo tran|138
life mil|11
offer hospit|170
sale wtf|207
don shot|26
replac citizen|27
inject ivermectin|29
day quercetin|96
panadol soon|208
day ago|125
threat vaccin|110
ago support|128
nobel prize|199
vaccin industri|116
vitamin d|93
ivermectin malaria|146
told tran|140
treat husband|103
crime pleas|172
messeng pay|62
vax start|74
mother opt|155
shouldn ivermectin|65
husband success|105
scienc denier|129
soon report|198
identifi furri|131
street ivermectin|44
ill hour|86
fat vax|89
danger health|49
jan mg|97
cure drug|209
ivermectin prophylact|15
omicron jan|77
denier react|124
drug won|194
drug shouldn|68
crime don|159
pharma gate|151
trust medic|187
ventil lie|188
malaria med|149
ivermectinmonoclon antibodi|166
marik ivermectin|119
feminist book|139
care advoc|61
respiratori therapist|100
expert watch|13
defens snake|72
hospit absolut|154
ivermectin biggest|108
mile week|78
heroin purchas|40
cure cancer|178
🤣 entir|4
excus remov|145
healthcar obvious|133
vent remdesever|57
home med|161
media silent|177
whatev discredit|118
effect drug|202
don offer|171
ivermectin hydroxychloriquin|73
don shoot|64
protect parasit|147
inject site|38
ivermectin suppress|32
watch heroin|39
mom recoveri|157
rare sick|79
unit treat|98
hear thank|162
idgaf expert|9
worth trillion|117
site watch|46
recommend ivermectin|24
lncrnaeifamrna axe|30
pleas pray|168
dr paul|111
support provid|132
safe inject|43
discharg live|7
club call|136
global conspiraci|120
health …|47
live world|14
world lie|2
purchas street|42
won nobel|196
trillion dollar|114
wow replac|23
mg ivermectin|94
absolut crime|167
scam trust|190
biggest threat|121
pray mother|153
don care|50
ivermectin incom|17
hospit don|53
quercetin zinc|80
hydroxychloroquin ivermectin|56
mixtur inject|21
recoveri thank|160
dollar biggest|115
ovarian cancer|33
opt home|165
day day|90
intub discharg|12
… …|48
watch save|3
regist respiratori|104
obvious ivermectin|126
shot evil|18
lord hear|158
cancer regul|31
die disgust|182
report effect|197
refuge wow|19
pandem ventil|185
tran feminist|142
cancer media|176
provid healthcar|122
emerg month|195
conspiraci whatev|112
medic establish|181
timesweek treadmil|81
zinc timesweek|83
ivermectin doctor|45
entir famili|8
tran daughter|135
safer panadol|200
establish lie|189
call scienc|137
prize safer|203
remdesever hydroxychloroquin|60
thank pray|169
ago govt|206
citizen question|28
snake venom|63
ivermectin fight|174
threat global|109
ban sale|193
care ll|52
doctor danger|41
mil intub|5
mildli ill|82
patient die|186
start identifi|134
fight cancer|175
day mildli|87
ivermectin entir|210
regul lncrnaeifamrna|35
paul marik|107
wonder ivermectin|173
antiparasit drug|37
attent drug|67
book club|127
advoc mother|55
ivermectin vaccin|184
industri worth|113
ivermectin 🤣|10
evil mixtur|25
parasit pharma|148
world ban|205
med happen|143
furri day|123
pay attent|66
lie hydroxychloroquin|180
remov ivermectin|150
week omicron|84
month ago|201
take iu|92
ivermectin told|141
icu unit|102
famili idgaf|1
treadmil mile|75
ivermectin day|76
ivermectin cure|179
shoot messeng|69
success ivermectin|106
cdc recommend|22
iu vitamin|88
mother vent|58
hour rare|91
happen protect|144
quercetin defens|71
start take|95
lie patient|191
govt world|192
incom refuge|16
ll tri|51
covid icu|101
jail don|54
daughter start|130
vaccin scam|183
med ivermectinmonoclon|163
d day|85
ivermectin jail|59
therapist covid|99
suppress ovarian|34
